NAME          REFERENCE            TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
backend-hpa   Deployment/backend   cpu: 2%/60%   2         10        2          5m25s
backend-hpa   Deployment/backend   cpu: 3%/60%   2         10        2          5m30s
backend-hpa   Deployment/backend   cpu: 101%/60%   2         10        2          5m45s
backend-hpa   Deployment/backend   cpu: 243%/60%   2         10        4          6m
backend-hpa   Deployment/backend   cpu: 229%/60%   2         10        6          6m15s
backend-hpa   Deployment/backend   cpu: 222%/60%   2         10        8          6m30s
backend-hpa   Deployment/backend   cpu: 120%/60%   2         10        8          6m45s
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          7m
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          7m15s
backend-hpa   Deployment/backend   cpu: 63%/60%    2         10        8          8m
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          8m16s
backend-hpa   Deployment/backend   cpu: 63%/60%    2         10        8          8m31s
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          9m1s
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          9m16s
backend-hpa   Deployment/backend   cpu: 63%/60%    2         10        8          9m31s
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          9m46s
backend-hpa   Deployment/backend   cpu: 65%/60%    2         10        8          10m
backend-hpa   Deployment/backend   cpu: 65%/60%    2         10        8          10m
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          10m
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          11m
backend-hpa   Deployment/backend   cpu: 64%/60%    2         10        8          11m
backend-hpa   Deployment/backend   cpu: 5%/60%     2         10        8          13m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        8          13m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        8          15m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        8          15m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        8          18m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        6          18m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        6          19m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        4          19m
backend-hpa   Deployment/backend   cpu: 3%/60%     2         10        4          19m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        4          20m
backend-hpa   Deployment/backend   cpu: 3%/60%     2         10        2          20m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        2          21m
backend-hpa   Deployment/backend   cpu: 3%/60%     2         10        2          21m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        2          21m
backend-hpa   Deployment/backend   cpu: 3%/60%     2         10        2          21m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        2          22m
backend-hpa   Deployment/backend   cpu: 3%/60%     2         10        2          23m
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        2          23m
